INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-01-01T15:00:00-00:00,2024-01-01T16:00:00-00:00,0,2024-01-01,8,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1648,ACTUAL,4
2024-01-01T19:00:00-00:00,2024-01-01T20:00:00-00:00,0,2024-01-01,12,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1650,ACTUAL,4
2024-01-01T18:00:00-00:00,2024-01-01T19:00:00-00:00,0,2024-01-01,11,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1704,ACTUAL,4
2024-01-02T05:00:00-00:00,2024-01-02T06:00:00-00:00,0,2024-01-01,22,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1850,ACTUAL,4
2024-01-02T06:00:00-00:00,2024-01-02T07:00:00-00:00,0,2024-01-01,23,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1747,ACTUAL,4
2024-01-01T16:00:00-00:00,2024-01-01T17:00:00-00:00,0,2024-01-01,9,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1685,ACTUAL,4
2024-01-01T08:00:00-00:00,2024-01-01T09:00:00-00:00,0,2024-01-01,1,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1571,ACTUAL,4
2024-01-01T09:00:00-00:00,2024-01-01T10:00:00-00:00,0,2024-01-01,2,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1528,ACTUAL,4
2024-01-01T11:00:00-00:00,2024-01-01T12:00:00-00:00,0,2024-01-01,4,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1473,ACTUAL,4
2024-01-01T21:00:00-00:00,2024-01-01T22:00:00-00:00,0,2024-01-01,14,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1577,ACTUAL,4
2024-01-02T00:00:00-00:00,2024-01-02T01:00:00-00:00,0,2024-01-01,17,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1787,ACTUAL,4
2024-01-01T22:00:00-00:00,2024-01-01T23:00:00-00:00,0,2024-01-01,15,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1592,ACTUAL,4
2024-01-02T07:00:00-00:00,2024-01-02T08:00:00-00:00,0,2024-01-01,24,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1644,ACTUAL,4
2024-01-01T13:00:00-00:00,2024-01-01T14:00:00-00:00,0,2024-01-01,6,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1524,ACTUAL,4
2024-01-01T17:00:00-00:00,2024-01-01T18:00:00-00:00,0,2024-01-01,10,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1722,ACTUAL,4
2024-01-02T04:00:00-00:00,2024-01-02T05:00:00-00:00,0,2024-01-01,21,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1933,ACTUAL,4
2024-01-01T10:00:00-00:00,2024-01-01T11:00:00-00:00,0,2024-01-01,3,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1491,ACTUAL,4
2024-01-01T23:00:00-00:00,2024-01-02T00:00:00-00:00,0,2024-01-01,16,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1653,ACTUAL,4
2024-01-01T20:00:00-00:00,2024-01-01T21:00:00-00:00,0,2024-01-01,13,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1590,ACTUAL,4
2024-01-02T03:00:00-00:00,2024-01-02T04:00:00-00:00,0,2024-01-01,20,0,ACTUAL,BANC,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,1946,ACTUAL,4
